,International faculty members,International students,Total faculty members,Total students,country,detail_page,name,rank,region,original rank
0,1679.0,3717,2982.0,11067.0,United States,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,Massachusetts Institute of Technology (MIT),1,North America,1
1,2042.0,3611,4285.0,15878.0,United States,https://www.topuniversities.com/universities/stanford-university,Stanford University,2,North America,2
2,1311.0,5266,4350.0,22429.0,United States,https://www.topuniversities.com/universities/harvard-university,Harvard University,3,North America,3
3,350.0,647,953.0,2255.0,United States,https://www.topuniversities.com/universities/california-institute-technology-caltech,California Institute of Technology (Caltech),4,North America,4
4,2278.0,6699,5490.0,18770.0,United Kingdom,https://www.topuniversities.com/universities/university-cambridge,University of Cambridge,5,Europe,5
5,2964.0,7353,6750.0,19720.0,United Kingdom,https://www.topuniversities.com/universities/university-oxford,University of Oxford,6,Europe,6
6,2554.0,14854,6345.0,31080.0,United Kingdom,https://www.topuniversities.com/universities/ucl-university-college-london,UCL (University College London),7,Europe,7
7,2071.0,8746,3930.0,16090.0,United Kingdom,https://www.topuniversities.com/universities/imperial-college-london,Imperial College London,8,Europe,8
8,635.0,3379,2449.0,13557.0,United States,https://www.topuniversities.com/universities/university-chicago,University of Chicago,9,North America,9
9,1886.0,7563,2477.0,19815.0,Switzerland,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,ETH Zurich - Swiss Federal Institute of Technology,10,Europe,10
10,2993.0,7251,4338.0,25738.0,Singapore,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,"Nanyang Technological University, Singapore (NTU)",11,Asia,11
11,1300.0,5896,1695.0,10343.0,Switzerland,https://www.topuniversities.com/universities/ecole-polytechnique-f%C3%A9d%C3%A9rale-de-lausanne-epfl,Ecole Polytechnique Fédérale de Lausanne (EPFL),12,Europe,12
12,246.0,1793,1007.0,8069.0,United States,https://www.topuniversities.com/universities/princeton-university,Princeton University,13,North America,13
13,970.0,5411,2718.0,21904.0,United States,https://www.topuniversities.com/universities/cornell-university,Cornell University,14,North America,14
14,3086.0,8917,5106.0,32728.0,Singapore,https://www.topuniversities.com/universities/national-university-singapore-nus,National University of Singapore (NUS),15,Asia,15
15,1708.0,2469,4940.0,12402.0,United States,https://www.topuniversities.com/universities/yale-university,Yale University,16,North America,16
16,1061.0,4105,4462.0,16146.0,United States,https://www.topuniversities.com/universities/johns-hopkins-university,Johns Hopkins University,17,North America,17
17,913.0,8105,6189.0,25045.0,United States,https://www.topuniversities.com/universities/columbia-university,Columbia University,18,North America,18
18,1383.0,4250,5499.0,20639.0,United States,https://www.topuniversities.com/universities/university-pennsylvania,University of Pennsylvania,19,North America,19
19,927.0,5551,1600.0,14442.0,Australia,https://www.topuniversities.com/universities/australian-national-university,The Australian National University,20,Oceania,20
20,1920.0,7527,6809.0,43147.0,United States,https://www.topuniversities.com/universities/university-michigan,University of Michigan,21,North America,21
21,226.0,2864,2938.0,15320.0,United States,https://www.topuniversities.com/universities/duke-university,Duke University,22,North America,21
22,1553.0,10551,4075.0,28040.0,United Kingdom,https://www.topuniversities.com/universities/university-edinburgh,The University of Edinburgh,23,Europe,23
23,1513.0,9451,3650.0,23780.0,United Kingdom,https://www.topuniversities.com/universities/kings-college-london,King's College London,24,Europe,23
24,932.0,4072,5506.0,36300.0,China,https://www.topuniversities.com/universities/tsinghua-university,Tsinghua University,25,Asia,25
25,2085.0,8230,3012.0,20214.0,Hong Kong,https://www.topuniversities.com/universities/university-hong-kong,The University of Hong Kong,26,Asia,26
26,1395.0,6086,3321.0,36703.0,United States,https://www.topuniversities.com/universities/university-california-berkeley-ucb,"University of California, Berkeley (UCB)",27,North America,27
27,254.0,2639,4514.0,27279.0,Japan,https://www.topuniversities.com/universities/university-tokyo,The University of Tokyo,28,Asia,28
28,1141.0,3422,4231.0,18675.0,United States,https://www.topuniversities.com/universities/northwestern-university,Northwestern University,29,North America,28
29,835.0,2921,1150.0,10375.0,Hong Kong,https://www.topuniversities.com/universities/hong-kong-university-science-technology,The Hong Kong University of Science and Technology,30,Asia,30
30,3905.0,21910,9581.0,72207.0,Canada,https://www.topuniversities.com/universities/university-toronto,University of Toronto,31,North America,31
31,1220.0,9540,3646.0,28837.0,Canada,https://www.topuniversities.com/universities/mcgill-university,McGill University,32,North America,32
32,662.0,6887,2859.0,40114.0,United States,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,"University of California, Los Angeles (UCLA)",33,North America,33
33,1653.0,13514,4910.0,36670.0,United Kingdom,https://www.topuniversities.com/universities/university-manchester,The University of Manchester,34,Europe,34
34,687.0,6748,1088.0,9760.0,United Kingdom,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,London School of Economics and Political Science (LSE),35,Europe,35
35,293.0,1990,4060.0,22974.0,Japan,https://www.topuniversities.com/universities/kyoto-university,Kyoto University,36,Asia,36
36,433.0,2331,3930.0,28064.0,South Korea,https://www.topuniversities.com/universities/seoul-national-university,Seoul National University,37,Asia,36
37,1038.0,7090,5185.0,42136.0,China,https://www.topuniversities.com/universities/peking-university,Peking University,38,Asia,38
38,870.0,6644,3694.0,32237.0,United States,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,"University of California, San Diego (UCSD)",39,North America,38
39,1178.0,4680,4037.0,29135.0,China,https://www.topuniversities.com/universities/fudan-university,Fudan University,40,Asia,40
40,147.0,584,1250.0,9826.0,South Korea,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,KAIST - Korea Advanced Institute of Science & Technology,41,Asia,41
41,1477.0,18030,3311.0,42182.0,Australia,https://www.topuniversities.com/universities/university-melbourne,The University of Melbourne,42,Oceania,41
42,75.0,374,178.0,1907.0,France,https://www.topuniversities.com/universities/ecole-normale-sup%C3%A9rieure-paris,"Ecole normale supérieure, Paris",43,Europe,43
43,942.0,5099,2870.0,20630.0,United Kingdom,https://www.topuniversities.com/universities/university-bristol,University of Bristol,44,Europe,44
44,1612.0,14292,2924.0,39784.0,Australia,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,The University of New South Wales (UNSW Sydney),45,Oceania,45
45,1074.0,4824,2208.0,18037.0,Hong Kong,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,The Chinese University of Hong Kong (CUHK),46,Asia,46
46,1870.0,10420,3158.0,37497.0,Australia,https://www.topuniversities.com/universities/university-queensland,The University of Queensland,47,Oceania,47
47,425.0,6385,1342.0,13356.0,United States,https://www.topuniversities.com/universities/carnegie-mellon-university,Carnegie Mellon University,48,North America,47
