Canton;Nationality;Unemployement rate;Unemployed registered;Demandeurs d'emploi
Zurich;Etrangers;5.3;12'111;15'384
Zurich;Suisses;2.5;15'114;18'772
Berne;Etrangers;5.5;4'900;6'859
Berne;Suisses;1.8;8'758;11'526
Lucerne;Etrangers;3.9;1'593;2'902
Lucerne;Suisses;1.3;2'292;3'854
Uri;Etrangers;2.1;53;130
Uri;Suisses;0.4;59;127
Schwyz;Etrangers;3.4;617;1'027
Schwyz;Suisses;1.2;838;1'202
Obwald;Etrangers;2.2;68;144
Obwald;Suisses;0.5;85;175
Nidwald;Etrangers;2.9;94;172
Nidwald;Suisses;0.7;154;264
Glaris;Etrangers;3.4;184;363
Glaris;Suisses;1.4;232;350
Zoug;Etrangers;3.9;717;1'217
Zoug;Suisses;1.7;826;1'398
Fribourg;Etrangers;5;1'888;3'569
Fribourg;Suisses;2;2'578;4'268
Soleure;Etrangers;5;1'569;2'927
Soleure;Suisses;1.9;2'232;3'701
Bƒle-Ville;Etrangers;4.6;1'780;2'719
Bƒle-Ville;Suisses;2.8;1'675;2'449
Bƒle-Campagne;Etrangers;4.8;1'596;2'288
Bƒle-Campagne;Suisses;2.2;2'486;3'252
Schaffhouse;Etrangers;5.1;595;1'122
Schaffhouse;Suisses;2.2;691;1'206
Appenzell Rhodes-Ext‚rieures;Etrangers;3.4;179;306
Appenzell Rhodes-Ext‚rieures;Suisses;1.4;344;560
Appenzell Rhodes-Int‚rieures;Etrangers;2;23;33
Appenzell Rhodes-Int‚rieures;Suisses;0.5;39;69
St-Gall;Etrangers;4.3;2'902;5'079
St-Gall;Suisses;1.5;3'225;5'284
Grisons;Etrangers;2.3;527;1'257
Grisons;Suisses;0.7;639;1'333
Argovie;Etrangers;5.6;4'972;7'280
Argovie;Suisses;2.1;5'712;7'865
Thurgovie;Etrangers;3.9;1'475;2'795
Thurgovie;Suisses;1.4;1'583;2'823
Tessin;Etrangers;4.6;2'303;4'034
Tessin;Suisses;2.5;2'899;4'641
Vaud;Etrangers;5.9;8'264;12'166
Vaud;Suisses;3.5;8'891;12'483
Valais;Etrangers;4.9;2'126;3'772
Valais;Suisses;2.1;2'690;4'255
Neuchƒtel;Etrangers;7.4;1'970;2'670
Neuchƒtel;Suisses;4.2;2'768;3'680
GenŠve;Etrangers;5.7;5'942;7'601
GenŠve;Suisses;4.8;6'292;7'896
Jura;Etrangers;9;505;729
Jura;Suisses;3.6;1'114;1'646
Total;;3;133'169;193'624
